image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0018_aligned.fits,18,2459782.6111833444,0.3107648045,0.9995036174,0.0020552728,0.9976850877,0.9994550993,1.0000485446,False,,True,True,,1.2577944513,633.2249545381,21.1726914441,1847.0809705158,1745.0533983966,6766122.0450291364,0.0000000000
TOI_3505.01_50.000s_R-0019_aligned.fits,19,2459782.6119430601,0.3289979808,1.0004429315,0.0020549652,0.9969036702,1.0003943677,1.0000485446,False,,True,True,,1.2545000259,630.0846955152,20.8807083489,1850.1163494180,1743.1012321264,6757086.7613576092,0.0000000000
TOI_3505.01_50.000s_R-0020_aligned.fits,20,2459782.6127035306,0.3472492732,0.9999166962,0.0019629911,0.9960815827,0.9998681580,1.0000485446,False,,True,True,,1.2512409491,606.2165914118,20.8700648089,1849.8992484996,1744.5899521292,7039113.5436239373,0.0000000000
TOI_3505.01_50.000s_R-0021_aligned.fits,21,2459782.6134658013,0.3655437715,1.0044055067,0.0018812730,1.0019755388,1.0043567506,1.0000485446,False,,True,True,,1.2480125451,582.3950848787,21.3979148325,1849.2657351264,1742.3844986311,7320418.9711110825,0.0000000000
TOI_3505.01_50.000s_R-0022_aligned.fits,22,2459782.6142264036,0.3837982267,1.0032015283,0.0018403046,1.0002869652,1.0031528306,1.0000485446,False,,True,True,,1.2448291261,569.8282350437,21.0639698165,1850.5714397531,1743.6002824039,7460704.1950294273,0.0000000000
TOI_3505.01_50.000s_R-0023_aligned.fits,23,2459782.6149847135,0.4019976631,1.0009703795,0.0017641574,0.9989408757,1.0009217901,1.0000485446,False,,True,True,,1.2416926281,547.7775392215,21.1087954128,1849.5269147550,1742.9191331152,7749746.3897730093,0.0000000000
TOI_3505.01_50.000s_R-0024_aligned.fits,24,2459782.6157393013,0.4201077707,1.0012363172,0.0017543433,0.9992724586,1.0011877149,1.0000485446,False,,True,True,,1.2386081580,541.8871372783,20.8203932345,1851.4530862691,1743.7807699376,7774884.7420087662,0.0000000000
TOI_3505.01_50.000s_R-0025_aligned.fits,25,2459782.6164944498,0.4382313341,0.9973050888,0.0017443794,0.9947341653,0.9972566774,1.0000485446,False,,True,True,,1.2355576182,538.4499645196,20.4418926249,1852.7517302936,1743.3920945865,7801454.0522903353,0.0000000000
TOI_3505.01_50.000s_R-0026_aligned.fits,26,2459782.6172491317,0.4563436992,0.9977398307,0.0017314823,0.9956675684,0.9976913982,1.0000485446,False,,True,True,,1.2325448110,529.2682173651,21.9259166383,1848.0939856499,1744.0946353318,7827339.5222357064,0.0000000000
TOI_3505.01_50.000s_R-0027_aligned.fits,27,2459782.6180027309,0.4744300805,1.0045483585,0.0016823185,1.0024311550,1.0044995955,1.0000485446,False,,True,True,,1.2295717438,513.2499416446,21.1225329095,1848.1287242249,1743.8896452451,8058379.1204332551,0.0000000000
