Image,Frame,BJD_TDB,Relative_Brightness,Flux_Error,Used_in_Plot,Notes
TOI_3505.01_50.000s_R-0157_aligned.fits,157,2459782.7159470404,0.9999052091,0.0015652607,True,
TOI_3505.01_50.000s_R-0158_aligned.fits,158,2459782.7166993860,1.0011507340,0.0015660675,True,
TOI_3505.01_50.000s_R-0159_aligned.fits,159,2459782.7174525233,1.0006144231,0.0015441901,True,
TOI_3505.01_50.000s_R-0160_aligned.fits,160,2459782.7182062040,1.0001977367,0.0015491296,True,
TOI_3505.01_50.000s_R-0161_aligned.fits,161,2459782.7189587019,0.9998559767,0.0015823784,True,
TOI_3505.01_50.000s_R-0162_aligned.fits,162,2459782.7197117265,1.0010694179,0.0015067098,True,
TOI_3505.01_50.000s_R-0163_aligned.fits,163,2459782.7204649015,1.0002891114,0.0015512022,True,
TOI_3505.01_50.000s_R-0164_aligned.fits,164,2459782.7212174460,1.0031658326,0.0015788749,True,
TOI_3505.01_50.000s_R-0165_aligned.fits,165,2459782.7219702462,0.9997762221,0.0015610688,True,
TOI_3505.01_50.000s_R-0166_aligned.fits,166,2459782.7227233690,1.0024491356,0.0015373069,True,
TOI_3505.01_50.000s_R-0167_aligned.fits,167,2459782.7234762423,0.9999692344,0.0015571577,True,
TOI_3505.01_50.000s_R-0168_aligned.fits,168,2459782.7242292752,1.0000942818,0.0015357067,True,
TOI_3505.01_50.000s_R-0169_aligned.fits,169,2459782.7249825085,0.9991176076,0.0015127654,True,
TOI_3505.01_50.000s_R-0170_aligned.fits,170,2459782.7257356197,1.0004244722,0.0015098082,True,
TOI_3505.01_50.000s_R-0171_aligned.fits,171,2459782.7264877493,1.0005455617,0.0015015989,True,
TOI_3505.01_50.000s_R-0172_aligned.fits,172,2459782.7272400553,1.0018503518,0.0015112990,True,
TOI_3505.01_50.000s_R-0173_aligned.fits,173,2459782.7279928620,0.9993516323,0.0015094010,True,
TOI_3505.01_50.000s_R-0174_aligned.fits,174,2459782.7287457399,1.0012122913,0.0015149054,True,
TOI_3505.01_50.000s_R-0175_aligned.fits,175,2459782.7294984516,1.0012598765,0.0015228737,True,
TOI_3505.01_50.000s_R-0176_aligned.fits,176,2459782.7302514496,0.9983532355,0.0015086493,True,
TOI_3505.01_50.000s_R-0177_aligned.fits,177,2459782.7310045240,0.9968330830,0.0015256250,True,
TOI_3505.01_50.000s_R-0178_aligned.fits,178,2459782.7317572888,0.9991367563,0.0015006296,True,
TOI_3505.01_50.000s_R-0179_aligned.fits,179,2459782.7325102086,1.0006226906,0.0015112176,True,
TOI_3505.01_50.000s_R-0180_aligned.fits,180,2459782.7332626660,0.9991634798,0.0014937307,True,
TOI_3505.01_50.000s_R-0181_aligned.fits,181,2459782.7340161237,0.9963892420,0.0014945776,True,
TOI_3505.01_50.000s_R-0182_aligned.fits,182,2459782.7347689266,1.0000347366,0.0015086972,True,
TOI_3505.01_50.000s_R-0183_aligned.fits,183,2459782.7355222134,0.9965966478,0.0014871026,True,
TOI_3505.01_50.000s_R-0184_aligned.fits,184,2459782.7362753092,0.9981375478,0.0014859512,True,
TOI_3505.01_50.000s_R-0185_aligned.fits,185,2459782.7370285932,0.9993180732,0.0014875548,True,
TOI_3505.01_50.000s_R-0186_aligned.fits,186,2459782.7377808141,1.0047730618,0.0014969956,True,
TOI_3505.01_50.000s_R-0187_aligned.fits,187,2459782.7385334913,0.9970427219,0.0014952905,True,
TOI_3505.01_50.000s_R-0188_aligned.fits,188,2459782.7392867822,1.0005880570,0.0015053112,True,
TOI_3505.01_50.000s_R-0189_aligned.fits,189,2459782.7400401402,1.0008459357,0.0015108389,True,
TOI_3505.01_50.000s_R-0190_aligned.fits,190,2459782.7407929031,1.0021728621,0.0015129757,True,
TOI_3505.01_50.000s_R-0191_aligned.fits,191,2459782.7415451775,1.0026881188,0.0015319787,True,
TOI_3505.01_50.000s_R-0192_aligned.fits,192,2459782.7422982855,0.9961238498,0.0015169151,True,
TOI_3505.01_50.000s_R-0193_aligned.fits,193,2459782.7430506404,1.0009453005,0.0015146559,True,
TOI_3505.01_50.000s_R-0194_aligned.fits,194,2459782.7438030676,0.9983384367,0.0014908676,True,
TOI_3505.01_50.000s_R-0195_aligned.fits,195,2459782.7445556736,1.0007582204,0.0014919051,True,
TOI_3505.01_50.000s_R-0196_aligned.fits,196,2459782.7453087107,1.0008122463,0.0014877019,True,
TOI_3505.01_50.000s_R-0197_aligned.fits,197,2459782.7460613889,1.0007814552,0.0014921883,True,
TOI_3505.01_50.000s_R-0198_aligned.fits,198,2459782.7468153709,0.9991058765,0.0014918629,True,
TOI_3505.01_50.000s_R-0199_aligned.fits,199,2459782.7475679070,0.9987091436,0.0014987406,True,
TOI_3505.01_50.000s_R-0200_aligned.fits,200,2459782.7483209199,0.9942639282,0.0015028363,True,
TOI_3505.01_50.000s_R-0201_aligned.fits,201,2459782.7490735962,0.9991256435,0.0014979620,True,
TOI_3505.01_50.000s_R-0202_aligned.fits,202,2459782.7498263419,1.0042738990,0.0015075249,True,
TOI_3505.01_50.000s_R-0203_aligned.fits,203,2459782.7505788938,1.0023028972,0.0015004352,True,
TOI_3505.01_50.000s_R-0204_aligned.fits,204,2459782.7513317387,1.0036064396,0.0014954500,True,
TOI_3505.01_50.000s_R-0205_aligned.fits,205,2459782.7520842613,1.0005647922,0.0014930529,True,
TOI_3505.01_50.000s_R-0206_aligned.fits,206,2459782.7528368193,1.0018246058,0.0014988868,True,
TOI_3505.01_50.000s_R-0207_aligned.fits,207,2459782.7535894997,1.0000065723,0.0014981353,True,
TOI_3505.01_50.000s_R-0208_aligned.fits,208,2459782.7543420116,0.9998234893,0.0014983754,True,
TOI_3505.01_50.000s_R-0209_aligned.fits,209,2459782.7550954781,1.0008120634,0.0015030511,True,
TOI_3505.01_50.000s_R-0210_aligned.fits,210,2459782.7558484720,1.0006309701,0.0015023519,True,
TOI_3505.01_50.000s_R-0211_aligned.fits,211,2459782.7566008535,0.9997382434,0.0015009544,True,
