Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	Source_Radius	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	rel_flux_T1	rel_flux_err_T1	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	rel_flux_C2	rel_flux_err_C2	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	rel_flux_C3	rel_flux_err_C3	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	rel_flux_C4	rel_flux_err_C4	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	rel_flux_C5	rel_flux_err_C5	X(FITS)_C6	Y(FITS)_C6	Source-Sky_C6	rel_flux_C6	rel_flux_err_C6	X(FITS)_C7	Y(FITS)_C7	Source-Sky_C7	rel_flux_C7	rel_flux_err_C7	X(FITS)_C8	Y(FITS)_C8	Source-Sky_C8	rel_flux_C8	rel_flux_err_C8	X(FITS)_C9	Y(FITS)_C9	Source-Sky_C9	rel_flux_C9	rel_flux_err_C9	X(FITS)_C10	Y(FITS)_C10	Source-Sky_C10	rel_flux_C10	rel_flux_err_C10	X(FITS)_C11	Y(FITS)_C11	Source-Sky_C11	rel_flux_C11	rel_flux_err_C11
TOI_3505.01_50.000s_R-0177_aligned.fits	177	0	59782.72569849528	2459782.7256984953	2459782.731004524	1.0710169291363711	25	435.6968216110771	19.57486510417368	8635465.00090653	1849.5084442818456	1742.745474001933	935364.9670483376	0.1083166878622223	0.000165767593763	2718.7063216421543	3167.0404027331806	926931.7475644372	0.1202474864024954	0.0001883535698647	1698.7446112720506	569.5511366619048	1129018.1642176006	0.1504064691032445	0.0002051816473429	657.0064015843072	3305.8277652158927	852080.4672340347	0.109474286352905	0.0001780950483625	3131.3889287457437	1842.777594232845	917735.5203719804	0.1189126313233275	0.0001867215991053	2077.4826648372555	3253.2812734904096	714954.529117245	0.090266218530197	0.0001678331435942	3331.7177154935735	505.5161453609362	859529.8619070066	0.1105371696834391	0.0001807842417274	634.616687299515	2369.799237681757	1173047.968923394	0.1571941053275143	0.0002091119674023	2002.6312545948124	2780.24666062704	668662.5755064144	0.0839311106014823	0.0001636413200415	2301.508174237173	1052.4189668489707	717005.3105844825	0.0905485837682305	0.0001672626766682	2514.3300737994045	1964.705215963641	676498.8554799354	0.0849983330898658	0.0001647446280824
TOI_3505.01_50.000s_R-0178_aligned.fits	178	0	59782.72645081021	2459782.72645081	2459782.731757289	1.071505015895991	25	431.1309140114002	19.225345436860177	8807540.724568969	1849.7268253483712	1742.6428196878596	956208.3342618644	0.1085670068597566	0.0001630517087182	2718.9428432348514	3166.974463935758	943779.2105434692	0.1200162554345247	0.0001849475533135	1698.9601478990423	569.468969459509	1156923.3490076517	0.1512196064991121	0.0002023229686198	657.1913672577531	3305.8052323606566	870487.5499569665	0.1096738966977527	0.000175105418468	3131.667229021125	1842.6811438275624	935053.2722276924	0.1187748189995029	0.0001834357875083	2077.639799373723	3253.275836417401	724387.4720246458	0.0896169414821662	0.0001644484285059	3332.1555116045283	505.3610175939257	875244.7030930102	0.1103393898466933	0.0001775357436748	634.8320893449602	2369.6952326525397	1191246.1405214774	0.1564075716053014	0.0002051387819969	2002.767096780136	2780.2147947156486	691061.3287440647	0.085142990580318	0.0001614092947899	2301.7965651145655	1052.333441038189	732592.3996614335	0.0907240975650234	0.0001643900425681	2514.593082942585	1964.6330909780727	686765.2987885561	0.0845689312634277	0.0001614595687776
TOI_3505.01_50.000s_R-0179_aligned.fits	179	0	59782.72720393492	2459782.727203935	2459782.7325102086	1.0720125695561071	25	433.1490998697376	19.53431366366246	8744332.536685858	1848.5302056619475	1743.0006299004012	950757.8950973356	0.108728469681195	0.0001642021583218	2717.7549649503067	3167.2488852355796	938399.3844853926	0.1202161696991808	0.0001862656191183	1697.6992420891104	569.8371452642441	1147146.181140625	0.1509961882537363	0.0002033772751633	655.9944742741377	3306.0288535235745	867820.89354559	0.1101783292990348	0.0001765401504913	3130.392019679881	1843.1076633683335	926966.5156218496	0.1185778576983762	0.0001844813094904	2076.4854466623924	3253.5057764571716	717186.2707095394	0.0893451105717843	0.0001653768283553	3330.758364030188	505.77821292871977	870705.5403182808	0.1105850633666	0.0001788573071414	633.6251096481836	2369.919746629821	1185708.2476465437	0.1568682609831431	0.000206664409671	2001.6173145601404	2780.4829827778713	682093.5131337331	0.0846034843597593	0.0001621421791007	2300.4776911969075	1052.728861608015	727730.0702695523	0.090777866723242	0.0001655066572616	2513.344479134258	1965.0705784210563	680575.9198147525	0.084399362747487	0.00016246778615
TOI_3505.01_50.000s_R-0180_aligned.fits	180	0	59782.727956932504	2459782.7279569325	2459782.733262666	1.0725392049460976	25	430.9338345853725	19.14689818048845	8861783.898758588	1853.6581152831704	1743.8750008222896	962123.0861788676	0.1085699106602732	0.0001623021073587	2722.8225096663095	3168.00225742205	952974.8988140102	0.1204953740595693	0.0001843698598198	1702.8648943842254	570.6976273448222	1163960.345688757	0.1512064205764471	0.0002013382210259	661.1020990303476	3306.7631757022273	874478.4924708442	0.1094835426954427	0.0001741465381033	3135.4511583941817	1843.950546029529	939747.518284535	0.118624489102422	0.0001824576205901	2081.5354990749024	3254.2743569397053	729505.0354783123	0.0897048721204398	0.0001635952168643	3335.8686176192227	506.6929024458954	880659.3017513886	0.110342758222522	0.0001766673610445	638.7416849655328	2370.923612610007	1202698.6094654654	0.1570290137840293	0.0002045648888965	2006.7099817850635	2781.298070823315	685836.3396916576	0.0838846304647688	0.0001597605256561	2305.635590905721	1053.6198745478227	736579.360983695	0.0906536392480046	0.0001635028117753	2518.4302650181376	1965.8250668153655	695343.9961299228	0.0851465270571698	0.000160989636689
TOI_3505.01_50.000s_R-0181_aligned.fits	181	0	59782.72870995337	2459782.7287099534	2459782.7340161237	1.0730860112451177	25	431.2326896476736	19.672560783833617	8846564.559026876	1850.38360259465	1743.7545729365888	957803.9188112149	0.1082684597416846	0.0001623941214327	2719.6321441933474	3167.9665690563406	950494.445841025	0.1203756339819944	0.000184663198136	1699.631748919537	570.7089430200831	1157239.7888338242	0.1504995332385694	0.0002012605812876	657.8781136552419	3306.6747853048155	876180.8709693181	0.1099295724347807	0.0001747004525536	3132.379348076246	1843.696272038685	941969.2394524442	0.1191672946393362	0.0001830887586613	2078.3464514426732	3254.1452423330893	725136.8899130707	0.0892868741133782	0.0001636272270845	3332.7280031103683	506.66242397860606	878273.6609981102	0.1102210840740492	0.0001768926247827	635.5797648162596	2370.668323124288	1201000.1700466764	0.1570845668081374	0.0002049447278895	2003.4673531674227	2781.1970589992957	684774.9695180844	0.083900100830619	0.0001600496839251	2302.4679787841465	1053.481207564539	736513.109637261	0.0908148504646901	0.0001638938955022	2515.2941072344024	1965.6421994564255	694981.4138170626	0.0852572318084568	0.0001613519297382
TOI_3505.01_50.000s_R-0182_aligned.fits	182	0	59782.72946307855	2459782.7294630785	2459782.7347689266	1.073651847167112	25	433.32035926224546	19.70043236000473	8761910.863152737	1850.63548857872	1743.2378900526778	952109.3825951362	0.1086645821288971	0.0001639283026235	2719.8336308301436	3167.5286051724256	940526.6326848622	0.1202506621553101	0.0001860872811715	1699.812925672722	570.2037313717819	1151484.405039408	0.1513035322497378	0.0002033339101637	658.2257265021946	3306.276231115593	867479.6571133416	0.1098850106451878	0.0001761477033154	3132.530637401923	1843.2186477896023	932195.0516999076	0.1190586062314484	0.0001845419124055	2078.5544734793966	3253.811190320808	718878.7228696634	0.0893790687804416	0.0001651666576119	3332.933216850153	506.1833440614855	871735.4663061134	0.1104836613206989	0.0001785398396676	635.8260574499038	2370.1883644978248	1186185.1389303312	0.1565770966519626	0.0002062332811356	2003.6830800803712	2780.810700978993	679024.8038174084	0.0840077169012136	0.0001615590345357	2302.616847043636	1053.0158561710955	730563.036949384	0.0909639393982943	0.0001653905377296	2515.4635473679577	1965.2136508807105	683837.9477423164	0.0846535993055682	0.0001623864130456
TOI_3505.01_50.000s_R-0183_aligned.fits	183	0	59782.73021608777	2459782.730216088	2459782.7355222134	1.0742376099588458	25	430.750311643029	18.75371115810252	8903278.023073092	1848.6831141391351	1745.3415773150227	964144.8502997422	0.1082909966195747	0.0001615819300028	2717.9728069015277	3169.3889199909418	956021.3317861868	0.1202957660640727	0.0001836537360601	1697.9490355745063	572.200069113539	1168253.8972270256	0.1510342926175735	0.0002006042970554	656.2603829198749	3308.2706091689274	881107.1960550505	0.1098340106505274	0.0001737149106552	3130.587895670796	1845.3993313808623	945002.220355826	0.1187445928970149	0.0001818876936149	2076.7005213842804	3255.7173994275568	730617.1984427779	0.0893977144188933	0.0001628340263814	3331.073609997501	508.3672338128954	883846.1866051297	0.110213068036302	0.0001759594198248	633.9594020104337	2371.997070576199	1204422.948448667	0.1564418263201847	0.0002034935822449	2001.8307224026064	2782.6054603351795	696402.0358958532	0.0848559228851442	0.0001597859133122	2300.7754369352974	1055.073762370011	740518.1672097105	0.0907190925968243	0.0001629830323522	2513.5984767151604	1967.3115080420075	697086.8410468666	0.0849464539131961	0.0001602978756251
TOI_3505.01_50.000s_R-0184_aligned.fits	184	0	59782.73096910864	2459782.7309691086	2459782.736275309	1.0748428357921618	25	429.0259581690484	19.430003655506184	8907903.173515705	1852.5910267573856	1743.646070864687	966137.211162674	0.108458432062342	0.0001614568160944	2721.7520304195464	3167.8693405486665	955149.182723428	0.1201029459517172	0.0001832331659639	1701.864509143884	570.4206600390585	1170120.2031325488	0.1512216364314244	0.0002004309732679	660.3654103658018	3306.4550782600627	879751.4474482707	0.1095833110118877	0.0001732651070676	3134.469695745761	1843.7501988619103	945646.2085067148	0.1187661001977782	0.0001816250853446	2080.5267661243493	3254.18331071028	733137.2193247656	0.0896829613756599	0.0001627565085314	3334.8265087905684	506.46888037203735	885416.7806550259	0.1103668784584004	0.0001758222268788	637.9033207411277	2370.486273014876	1213490.457419639	0.1577106014707424	0.0002040566230305	2005.697639061587	2781.0918782734643	690515.847819282	0.084031069785403	0.0001590038036877	2304.653434462013	1053.3064840516677	738467.1757469825	0.0903938994012165	0.0001625023074998	2517.3975647782877	1965.6789365895904	696208.650739048	0.0847825803563423	0.0001599260823507
TOI_3505.01_50.000s_R-0185_aligned.fits	185	0	59782.73172223382	2459782.731722234	2459782.737028593	1.075467881913733	25	431.4162267727812	18.910112129065812	8913702.82867284	1850.101370984714	1742.5979933938147	967909.6542773916	0.1085867088999088	0.0001616310554775	2719.3573064561565	3166.8141944094987	955375.4444547408	0.1200472660058337	0.0001833516578925	1699.3560279285048	569.6763432929774	1174525.184344465	0.1517635643375121	0.0002008891196482	657.6233007665251	3305.6059306559528	883246.2571663796	0.1099870535755464	0.0001736763387333	3132.084879867012	1842.585746648905	939940.6321323492	0.1178791903952382	0.0001812141007113	2078.023562644246	3253.1845179802413	733329.6446234154	0.0896450110678697	0.0001629103791182	3332.487733776062	505.6630481096877	883217.1733154026	0.1099830335574008	0.0001756954598942	635.2637945339542	2369.4738170809023	1206266.563454562	0.1565068489632719	0.0002034112573574	2003.1588502489028	2780.1001157312194	699152.0861613394	0.0851114209500375	0.0001598287365754	2302.1794598734086	1052.4882271775275	742273.982957728	0.090837722138027	0.000162953887674	2515.015891355536	1964.6422598744032	696375.8600624572	0.0847448157682619	0.0001600262460993
TOI_3505.01_50.000s_R-0186_aligned.fits	186	0	59782.73247454828	2459782.7324745483	2459782.737780814	1.0761117278972496	25	433.17618576740193	18.647151814999763	8873223.38948188	1849.330227417615	1742.6871260646358	968773.6704424724	0.109179452372498	0.0001626568557611	2718.4724880837207	3166.942164146049	953741.2643237406	0.1204297514977592	0.000184384857656	1698.5854133721216	569.7224917674012	1162791.664222208	0.150807594912339	0.0002011621232775	656.9245280802925	3305.576460712497	877631.0589184714	0.1097643579905517	0.0001743404342422	3131.1570147924467	1842.724202572285	941763.3365642112	0.1187377015430815	0.0001826280944112	2077.2622957617536	3253.113952714729	731045.6199948302	0.0897850232077266	0.0001637339035899	3331.5723871524892	505.7643131291811	880676.977319281	0.1101872834894168	0.0001766195225977	634.6004308524698	2369.4259968120077	1202355.2726223124	0.1567430510217863	0.0002044297870507	2002.4246741243528	2780.0843549422125	691776.9212746867	0.0845543540452055	0.0001602529914554	2301.3207158478544	1052.6027383500405	738946.2050465627	0.090843499464281	0.0001637109431717	2514.135783303074	1964.676683717512	692495.0691955753	0.0846495620051761	0.0001607415492012
