duration_label,duration_hours,midpoint_hours_since_first_image,event_coverage_fraction,depth_ppt,depth_error_ppt,depth_snr,upper_limit_ppt,in_event_points,baseline_points_before,baseline_points_after,reduced_chi_square,residual_scatter_ppt
TOI catalog,2.004,2.6701049660333327,0.9999999999999998,-0.5476165865652849,0.3773171619011667,-1.4513429068692238,0.5843348991382151,110,89,64,2.996581801118541,2.4782731610574453
TOI catalog,2.004,2.703438299366666,0.9999999999999998,-0.5914363341894229,0.3787072271347051,-1.5617244451980068,0.5446853472146924,110,91,62,2.9927842548570425,2.5313427128327475
TOI catalog,2.004,2.7367716326999996,1.0000000000000002,-0.6095451400645587,0.3802959849067924,-1.6028177110887813,0.5313428146558185,109,93,61,2.991302032146588,2.5554330159906566
TOI catalog,2.004,2.770104966033333,1.0000000000000002,-0.6594457187604131,0.3825743938130838,-1.7237058449933838,0.4882774626788381,109,95,59,2.98672771346399,2.513856633899863
TOI catalog,2.004,2.803438299366666,1.0000000000000002,-0.7666718574856239,0.38576445665990505,-1.9874092707341666,0.39062151249409127,109,97,57,2.975653968953416,2.525469063449208
TOI catalog,2.004,2.836771632699999,1.0000000000000002,-0.8762258115805511,0.38912378678603665,-2.2517919524214336,0.2911455487775588,110,98,55,2.9630723086599136,2.5172338741120646
TOI catalog,2.004,2.870104966033333,0.9999999999999998,-1.0053723855323382,0.39210355509782885,-2.564048125708782,0.17093827976114828,110,100,53,2.9463572851250475,2.49244352127577
TOI catalog,2.004,2.903438299366666,0.9999999999999998,-1.177759329547124,0.3943224099219477,-2.9867927865937167,0.005207900218719086,110,102,51,2.9206475433156855,2.6249718263117554
TOI catalog,2.004,2.9367716326999993,0.9999999999999998,-1.4182701160804472,0.3944748126336389,-3.595337574563066,-0.23484567817953028,110,104,49,2.8777835580333906,2.6326240768389635
TOI catalog,2.004,2.9701049660333325,0.9999999999999998,-1.3943738497306883,0.39934529097404686,-3.491649660697533,-0.1963379768085478,109,106,48,2.8855527019805276,2.692583478091583
TOI catalog,2.004,3.003438299366666,1.0000000000000002,-1.45769434774703,0.4047800367827306,-3.60120118406299,-0.2433542373988382,109,108,46,2.8773386870665916,2.6377984981320983
TOI catalog,2.004,3.0367716326999994,1.0000000000000002,-1.5110376714907776,0.4112501320709713,-3.6742545561785036,-0.2772872752778639,110,109,44,2.8717471154421306,2.5909562617974973
TOI catalog,2.004,3.0701049660333326,1.0000000000000002,-1.5802852390868631,0.4180212819296779,-3.780394222494893,-0.3262213932978293,110,111,42,2.8634631374209394,2.545489547794371
