slice,bjd_tdb,orbital_phase,historical_schedule_window_fraction,used_in_primary_ground_curve,tic_390988375_relative_brightness,tic_390988378_relative_brightness,tic_390988347_relative_brightness,tic_390988410_relative_brightness,tic_390988435_relative_brightness,tic_390988436_relative_brightness,tic_390988374_relative_brightness,tic_390988358_relative_brightness,tic_390988400_relative_brightness,tic_1845606942_relative_brightness,tic_390988325_relative_brightness,tic_390988426_relative_brightness,tic_390988448_relative_brightness,tic_390988407_relative_brightness,tic_390988312_relative_brightness,tic_390988462_relative_brightness,tic_390988315_relative_brightness,tic_390988392_relative_brightness,tic_390988472_relative_brightness,tic_390988304_relative_brightness,tic_390988341_relative_brightness,tic_390988440_relative_brightness,tic_390988463_relative_brightness,tic_390988452_relative_brightness,tic_390988307_relative_brightness,tic_390988399_relative_brightness,tic_390988366_relative_brightness,tic_390988316_relative_brightness,tic_390988286_relative_brightness,tic_390988425_relative_brightness,tic_390988421_relative_brightness,tic_390988342_relative_brightness,tic_390988456_relative_brightness,tic_390988350_relative_brightness,tic_390988287_relative_brightness,tic_1845610104_relative_brightness,tic_1845609659_relative_brightness,tic_390988444_relative_brightness,tic_390988453_relative_brightness,tic_390988278_relative_brightness,tic_390988513_relative_brightness,tic_1845606364_relative_brightness,tic_1845606859_relative_brightness,tic_1845607076_relative_brightness
119,2459782.6872787620,0.2790644047,0.9999994040,True,1.1232263485,1.0597402585,1.0049556378,0.9529257484,1.2183110644,0.8762476493,1.1437273392,1.0468275952,,0.6364151615,1.0018945087,1.4122538214,1.1775249937,0.7224346011,1.0494588923,1.0412000762,1.3336418244,1.1168736980,0.4170165999,1.0823893279,1.1158040072,0.4707291591,0.9535928624,0.9887902781,0.1628337535,0.9879758437,,1.1162187492,1.0024897854,1.2484452914,,1.0609041781,0.5489436226,0.9963023841,1.7454010864,0.8155610777,0.9822174962,1.0101373971,0.9798740988,0.9976999059,1.6790265533,,1.1119448979,1.1362706788
120,2459782.6880318290,0.2793227329,0.9999994040,True,0.6688123511,1.4060064619,1.1259114152,2.1630645898,0.7258390970,1.0975114374,3.5555491116,1.1611986966,,,1.1670776116,1.0505025225,0.6560849816,,1.0567246333,0.9041632563,1.8589846270,1.0807659672,0.8803748862,1.1587182263,1.1853637369,0.7683766789,0.6144634149,0.9951149885,1.5119260901,1.0147556879,0.9817074119,1.1261161273,1.0627009980,1.4142705627,0.9966035725,1.0318446778,0.8614574776,1.0634019552,1.5471215462,1.1738999338,1.1003750781,1.0836983058,1.0644568338,1.0199977395,2.8346592835,1.8714874337,0.9989399202,1.0022800424
121,2459782.6887850352,0.2795811089,0.9999994040,True,0.9197307186,0.9316083428,1.0631272433,0.3018951108,0.7939968433,0.8773084259,0.9857254134,1.0722783412,,0.3580464897,1.0668952707,0.9931176206,0.9327330876,,0.9696693506,1.5719990722,2.1121609932,1.0979218923,1.6794679342,1.0058198046,1.1183196407,1.2157343979,0.7658318781,0.9665271253,,0.9850519233,,1.0446197183,1.0000000000,1.1574521643,,1.0871839446,0.6775782142,1.0854328133,1.3112608954,0.8309069678,0.9845259774,1.0298245695,1.0481154545,1.1218615055,0.6146720811,0.2533010390,1.1030713064,1.1747935264
122,2459782.6895380071,0.2798394045,0.9999994040,True,0.6921701050,0.9318250377,1.0818322796,2.7726468664,0.9106445183,0.7310826453,1.8962350884,1.0994108540,,,1.1971840742,1.2386479010,0.5777840089,,0.8473149585,0.7323824661,1.9024106278,0.9705629988,0.7495552643,1.1274364715,1.1637712522,1.3689986229,1.2642962196,1.0321413332,1.3290957062,0.9618913020,,1.0219400485,1.0125860061,1.1191574394,,1.0668097606,0.2508417318,1.1767134284,1.5809749273,0.7616263062,0.9586024400,1.0208813769,1.0625508135,1.1512274315,0.9944632250,0.1716738781,1.0941780290,1.2314441953
123,2459782.6902910583,0.2800977273,0.9999994040,True,0.5046380738,1.5086069059,1.1764104146,,0.9581874897,1.3150239828,0.6909057588,1.1176502452,,2.3119297910,1.3580465228,1.4073990497,1.5239068460,1.6528378794,0.9866178330,0.7616625139,1.4032471144,1.5109931190,1.6426457547,1.2647690961,1.3031642103,0.7833129598,0.6124412661,0.9725559546,0.7079840427,1.1151714276,,1.1099737704,1.0890602115,0.9655748977,,1.0114322901,1.8773673470,1.0786832407,1.3305267166,1.2828173714,1.1274654900,1.1196486875,1.1115591821,1.0659082488,,,0.9395467078,0.8930420147
124,2459782.6910441252,0.2803560556,0.9999994040,True,0.9825782496,1.1849291850,1.0642134725,,1.1875722523,0.7827829495,1.1919073628,1.2194009935,,2.3394698095,1.0632496985,1.1404497562,0.8444881283,0.7177121576,1.1622131938,1.1953688851,1.4517687107,1.0834293511,0.5267926847,1.2624867049,1.0767653117,1.2562082278,1.7140639864,0.9203640075,1.4627168150,0.9736763138,1.0182925881,1.0091743091,1.0182213091,1.1121604347,0.4444982844,1.0832269769,0.5785791546,1.0509850633,1.4071217890,0.9141067790,1.0384324619,1.0097061716,0.9812825827,0.9936377710,,0.5595903622,1.0835428009,1.1474954148
125,2459782.6917973706,0.2806144450,0.9999994040,True,0.9056320814,1.1123492576,1.1086367197,,0.9814630302,1.1501520078,1.5072321940,1.1836810514,,0.9510459627,1.0774171737,0.8374015512,1.2980714210,,1.0032084266,0.6470033964,0.9344215567,0.9320951006,1.1295182056,1.2989267997,1.1847666302,0.1061367008,1.3177571149,1.0434171496,0.4658597535,1.0555821992,,1.2887561365,1.0377962270,1.1651972970,,1.0118483000,1.8613646734,1.0104497613,1.1022261164,0.9991665108,0.9941731365,1.0344683336,1.0518476487,1.1751864753,3.2399512608,2.2728382764,1.0753974035,1.1268293773
126,2459782.6925499006,0.2808725890,0.9999994040,True,1.0198027884,0.8465655212,1.0462289091,0.7130311050,1.0192367288,1.0436707920,0.1476232599,1.1198009528,,1.4883863823,1.0020719926,1.4266782655,0.8603563564,,1.1461746249,1.0632151269,0.3890673796,0.8350955189,0.5190255687,0.9487094916,1.1368669462,1.8279357784,1.1694450354,0.7684354910,1.4816922812,0.9795527742,,0.9932938307,0.9925127375,0.7802552282,,1.0737051752,1.0936940130,1.0923809804,1.4157143412,0.8627548429,0.9754549817,1.0156199517,0.9881269884,1.0054653233,1.8873461237,0.1258921930,1.0927183218,1.1611628607
127,2459782.6933032637,0.2811310188,0.9999994040,True,0.8604793165,0.8497509687,1.0590864282,,0.9123418672,0.9218442292,1.0447551019,1.0147624300,,,0.9997070247,0.9641574748,1.0440037190,,0.8573977748,1.6326927763,0.5977291211,0.9640457111,0.7537902792,0.9914428027,0.9640091629,1.2977606243,1.6187067192,1.1228236208,1.0000000000,1.0284847022,,0.5773699053,0.9934420915,0.5616726600,,1.0605504576,2.1571371451,1.1486494682,1.1124820123,0.8267225629,0.9123105399,0.9959405192,1.0564419852,1.0603675375,1.7400824776,0.9254425196,1.0744500369,1.1770358383
128,2459782.6940560760,0.2813892597,0.9999994040,True,1.1429666852,1.1749024791,1.0330607796,,1.0972958402,1.2003296745,0.6368416930,1.0623975430,,,1.0964134519,1.1152554817,1.2658611360,0.0986442870,1.1474853563,1.1076169668,1.2086150671,1.8714312674,,0.9440717044,1.0552310180,0.8248642891,1.1680348703,1.0939710759,0.0586873408,0.9843757021,,1.0409822634,1.0138135826,0.8134374162,,1.0576149994,,0.9539103738,1.2298273825,0.9704046030,1.0173990346,0.9997366421,0.9685131087,1.0105488768,2.9584756546,1.1188460520,1.1065030696,1.0419054095
