slice,bjd_tdb,flux_sum_ensemble,equal_star_ensemble,inverse_error_ensemble
174,2459782.7287457399,1.0012608948,1.0014438625,1.0011957311
175,2459782.7294984516,1.0013084822,1.0014867271,1.0012939454
176,2459782.7302514496,0.9984017001,0.9985261899,0.9983854503
177,2459782.7310045240,0.9968814739,0.9970274233,0.9968611679
178,2459782.7317572888,0.9991852590,0.9992020843,0.9992164426
179,2459782.7325102086,1.0006712654,1.0009401130,1.0005718623
180,2459782.7332626660,0.9992119838,0.9995290189,0.9990964182
181,2459782.7340161237,0.9964376113,0.9966700962,0.9963744569
182,2459782.7347689266,1.0000832829,1.0004224392,0.9999630785
183,2459782.7355222134,0.9966450272,0.9966678995,0.9966774373
184,2459782.7362753092,0.9981860020,0.9987203000,0.9979433762
185,2459782.7370285932,0.9993665847,0.9993977934,0.9993659766
186,2459782.7377808141,1.0048218381,1.0049226066,1.0048167188
187,2459782.7385334913,0.9970911230,0.9972519224,0.9970317701
188,2459782.7392867822,1.0006366302,1.0010082396,1.0004877104
189,2459782.7400401402,1.0008945213,1.0013468932,1.0006810913
190,2459782.7407929031,1.0022215122,1.0024082018,1.0021383883
191,2459782.7415451775,1.0027367939,1.0031995738,1.0025506746
192,2459782.7422982855,0.9961722063,0.9963117564,0.9961301081
193,2459782.7430506404,1.0009938910,1.0011132061,1.0009847159
194,2459782.7438030676,0.9983869007,0.9984621485,0.9983892866
195,2459782.7445556736,1.0008068018,1.0011051873,1.0006802622
196,2459782.7453087107,1.0008608303,1.0011893889,1.0007204897
197,2459782.7460613889,1.0008300378,1.0012537220,1.0006286219
198,2459782.7468153709,0.9991543777,0.9993825323,0.9990672990
199,2459782.7475679070,0.9987576255,0.9991030982,0.9986010727
200,2459782.7483209199,0.9943121944,0.9945086742,0.9942583128
201,2459782.7490735962,0.9991741457,0.9995282314,0.9990232985
202,2459782.7498263419,1.0043226511,1.0046878606,1.0041669659
203,2459782.7505788938,1.0023515536,1.0023872541,1.0023632140
204,2459782.7513317387,1.0036551593,1.0038368543,1.0035966517
205,2459782.7520842613,1.0006133642,1.0007494464,1.0005794395
206,2459782.7528368193,1.0018732390,1.0021913006,1.0017528202
207,2459782.7535894997,1.0000551173,1.0004974319,0.9998564776
208,2459782.7543420116,0.9998720253,1.0000771165,0.9998011292
209,2459782.7550954781,1.0008606474,1.0012231208,1.0007266818
210,2459782.7558484720,1.0006795454,1.0011513922,1.0004646835
211,2459782.7566008535,0.9997867753,1.0001414041,0.9996098843
212,2459782.7573540136,0.9985412000,0.9986162385,0.9985341287
213,2459782.7581184660,1.0039383490,1.0041872444,1.0038470057
214,2459782.7588714752,1.0005029188,1.0008253107,1.0003610978
215,2459782.7596239583,0.9987796276,0.9990154785,0.9986793058
216,2459782.7603768315,1.0018032030,1.0022407915,1.0016174169
217,2459782.7611298510,0.9997699847,0.9998168200,0.9997744758
218,2459782.7618830381,1.0079708500,1.0084032233,1.0077751009
219,2459782.7626361796,0.9943836898,0.9943569561,0.9944538178
220,2459782.7633886291,1.0025958741,1.0028565257,1.0024945563
221,2459782.7641416239,0.9992651559,0.9996281287,0.9990933279
222,2459782.7648947048,1.0006409669,1.0008042643,1.0006061770
223,2459782.7656475282,0.9984264916,0.9985365107,0.9983926198
224,2459782.7664007670,0.9988167152,0.9986892412,0.9989405505
225,2459782.7671540114,0.9983299408,0.9986484471,0.9981885529
226,2459782.7679064879,1.0005525297,1.0007802152,1.0004528232
227,2459782.7686598850,0.9996521162,1.0002307779,0.9993869949
228,2459782.7694134377,0.9998745564,0.9994633191,1.0001626692
229,2459782.7701664320,1.0013067814,1.0014828692,1.0012560657
230,2459782.7709195474,1.0052897857,1.0055266320,1.0051938878
231,2459782.7716841977,1.0005470273,1.0005657548,1.0005678823
232,2459782.7724372265,1.0022892538,1.0025238125,1.0022332710
233,2459782.7731901570,0.9987901102,0.9989054388,0.9987859103
234,2459782.7739435956,1.0047111416,1.0049271564,1.0047030538
235,2459782.7746966756,0.9950452067,0.9953559045,0.9948775559
236,2459782.7754508555,0.9959165390,0.9961658354,0.9957945036
237,2459782.7762046782,0.9988693073,0.9990123060,0.9988000902
238,2459782.7769582062,1.0015113338,1.0018536013,1.0012932618
239,2459782.7777132667,0.9953309706,0.9955747290,0.9951326801
240,2459782.7784713698,0.9950449477,0.9957561515,0.9946180167
241,2459782.7792286621,0.9944670432,0.9954056288,0.9937445877
242,2459782.7799883364,0.9974799361,0.9981528296,0.9969316259
243,2459782.7807455729,0.9931751354,0.9937526271,0.9926594869
244,2459782.7814999372,0.9842175251,0.9845475827,0.9839739164
245,2459782.7822548579,1.0097164374,1.0101021903,1.0096022178
246,2459782.7830085154,0.9990708131,0.9992383128,0.9989488031
247,2459782.7837648145,0.9876964855,0.9878153198,0.9877052316
248,2459782.7845243327,0.9944350565,0.9946366251,0.9943335695
249,2459782.7852845681,0.9933266184,0.9938512691,0.9929915048
250,2459782.7860405776,0.9958680097,0.9967709819,0.9951510160
251,2459782.7868010262,0.9909558412,0.9912835208,0.9907078190
252,2459782.7875607163,0.9978768806,0.9983624650,0.9974867495
253,2459782.7883201572,0.9865057660,0.9861824165,0.9868150940
254,2459782.7890817099,0.9956460047,0.9956617763,0.9957159712
255,2459782.7898395183,0.9988863392,0.9993237254,0.9986602941
256,2459782.7905998630,1.0007843221,1.0008164399,1.0008262043
257,2459782.7913538311,1.0010338135,1.0011153400,1.0010307295
258,2459782.7921076119,0.9973546333,0.9977168102,0.9971758942
259,2459782.7928616721,0.9974554669,0.9976152314,0.9973691945
260,2459782.7936161715,1.0001027000,1.0006759182,0.9996987892
261,2459782.7943770611,0.9911465267,0.9911002135,0.9912005335
262,2459782.7951350249,0.9925797418,0.9932829367,0.9919694423
263,2459782.7958915341,0.9856000858,0.9855004561,0.9857432587
264,2459782.7966453354,0.9831355436,0.9827959561,0.9835194254
265,2459782.7973991074,0.9873352260,0.9875300673,0.9870540121
266,2459782.7981529119,0.9904481232,0.9908910027,0.9899472850
267,2459782.7989072786,0.9949162268,0.9947402790,0.9949964448
268,2459782.7996603507,1.0078011930,1.0081257992,1.0073026567
269,2459782.8004136644,0.9809362185,0.9810074644,0.9808401509
270,2459782.8011668329,0.9954513113,0.9954779152,0.9952383863
271,2459782.8019205416,0.9840163840,0.9833344038,0.9848373488
272,2459782.8026749203,0.9937487160,0.9937266180,0.9937851034
273,2459782.8034281861,0.9920121975,0.9922252251,0.9918807689
274,2459782.8041823604,0.9857723894,0.9860633158,0.9855148382
275,2459782.8049353827,0.9967345295,0.9982340217,0.9953993522
276,2459782.8056891970,0.9960303010,0.9954973159,0.9965870364
277,2459782.8064434510,0.9795314741,0.9786415776,0.9807008526
278,2459782.8071970316,0.9862874776,0.9860920900,0.9864680383
279,2459782.8079504250,0.9898671138,0.9896938065,0.9900264282
280,2459782.8087046882,0.9914884081,0.9916014969,0.9913090171
281,2459782.8094587056,0.9875515809,0.9885898761,0.9865291995
