image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0079_aligned.fits,79,2459782.6571634738,1.4142879099,1.0037340714,1.0030328462,0.0018275156,389.5777446620,21.4650097250,1.1169097090,6108350.9933100566,1848.2500970782,1744.9565868192,False,
TOI_3505.01_50.000s_R-0080_aligned.fits,80,2459782.6579167228,1.4323658869,1.0007029788,1.0000202858,0.0018122190,386.4234501467,21.5055059255,1.1154420420,6143932.5430771336,1845.0310317825,1744.8186535127,False,
TOI_3505.01_50.000s_R-0081_aligned.fits,81,2459782.6586697218,1.4504378624,1.0033953404,1.0033747769,0.0018129662,384.4596723078,21.5816182746,1.1139981249,6137166.9402499693,1848.7511363502,1744.1203850476,False,
TOI_3505.01_50.000s_R-0082_aligned.fits,82,2459782.6594229331,1.4685149342,1.0037569538,1.0018038684,0.0018432500,389.6726221689,21.8675870831,1.1125769370,6045464.4722649874,1847.2389799807,1744.3647385041,False,
TOI_3505.01_50.000s_R-0083_aligned.fits,83,2459782.6601752411,1.4865703247,0.9991714757,0.9986676029,0.0019260343,404.0555914219,21.1732146910,1.1111804211,5803940.5127643887,1848.9228212579,1742.9756167240,False,
TOI_3505.01_50.000s_R-0084_aligned.fits,84,2459782.6609284044,1.5046462454,0.9957393088,0.9944474200,0.0019560313,405.5301089836,22.1194592763,1.1098051820,5697251.9139044583,1846.1146754350,1744.1311181766,False,
TOI_3505.01_50.000s_R-0085_aligned.fits,85,2459782.6616811780,1.5227128118,1.0003933774,0.9995366344,0.0018634953,390.2845735052,22.6279117377,1.1084533889,5963704.7427612534,1847.1286437828,1743.5289539074,False,
TOI_3505.01_50.000s_R-0086_aligned.fits,86,2459782.6624343651,1.5407893024,1.0029417986,1.0014913313,0.0018021426,378.8517504292,21.1984941645,1.1071234770,6144294.6942156050,1849.7411843724,1743.6975434764,False,
TOI_3505.01_50.000s_R-0087_aligned.fits,87,2459782.6631872556,1.5588586740,1.0020945813,1.0019977533,0.0018241351,382.1210786346,20.8971492940,1.1058165844,6074748.8167265272,1845.9945099544,1744.4690201717,False,
TOI_3505.01_50.000s_R-0088_aligned.fits,88,2459782.6639406304,1.5769396685,0.9990204040,0.9989439760,0.0018701068,390.8224395590,20.4473025808,1.1045312454,5940614.0971239675,1846.4818374141,1744.6417317334,False,
TOI_3505.01_50.000s_R-0089_aligned.fits,89,2459782.6646927330,1.5949901305,0.9978066315,0.9961318434,0.0018615284,390.4160902633,20.2591062825,1.1032703054,5964385.3442700300,1855.1750347807,1743.6053688508,False,
TOI_3505.01_50.000s_R-0090_aligned.fits,90,2459782.6654457957,1.6130636372,0.9973291204,0.9962343469,0.0018789436,393.8728840520,20.5146425841,1.1020298940,5917114.5759017188,1846.1058575491,1744.3991398336,False,
TOI_3505.01_50.000s_R-0091_aligned.fits,91,2459782.6661983095,1.6311239675,0.9999501888,0.9989502645,0.0019220395,402.4046831872,21.2002020869,1.1008124036,5810337.6342716729,1847.5965040467,1743.8350489467,False,
TOI_3505.01_50.000s_R-0092_aligned.fits,92,2459782.6669506375,1.6491798386,0.9988196868,0.9996855789,0.0020656667,425.9517185729,20.4552242611,1.0996171052,5451591.7474922007,1849.5461177930,1743.7495243840,False,
TOI_3505.01_50.000s_R-0093_aligned.fits,93,2459782.6677036607,1.6672523953,0.9977727671,0.9968488420,0.0021165283,435.5007463723,20.9199257822,1.0984425133,5339782.7056391872,1856.0923896910,1743.4597234182,False,
TOI_3505.01_50.000s_R-0094_aligned.fits,94,2459782.6684568319,1.6853285059,1.0035678383,1.0032051248,0.0021342598,436.5051852790,20.8420420396,1.0972894144,5303891.3088612501,1847.9781126156,1743.8464483326,False,
TOI_3505.01_50.000s_R-0095_aligned.fits,95,2459782.6692095487,1.7033937089,1.0021276813,1.0024371400,0.0022423112,451.1585513450,20.7664004173,1.0961586143,5072950.9611791689,1848.6340561942,1742.6103349116,False,
TOI_3505.01_50.000s_R-0096_aligned.fits,96,2459782.6699625305,1.7214652710,1.0041743868,1.0031576694,0.0022142536,448.9925054532,19.8588628058,1.0950489232,5136964.6564144129,1850.7279184525,1742.5515010974,False,
TOI_3505.01_50.000s_R-0097_aligned.fits,97,2459782.6707157129,1.7395416498,1.0001317945,0.9989030454,0.0021408434,439.2815913977,20.5457897093,1.0939603571,5290885.1409909073,1849.1154069225,1743.0511212529,False,
TOI_3505.01_50.000s_R-0098_aligned.fits,98,2459782.6714689122,1.7576184310,1.0021780159,1.0005359978,0.0021423373,438.4541190617,20.2565484195,1.0928930948,5284274.4410518734,1850.7964116188,1742.9291418295,False,
TOI_3505.01_50.000s_R-0099_aligned.fits,99,2459782.6722215102,1.7756807841,0.9997449929,0.9991373683,0.0021800990,442.1347512961,20.6039143549,1.0918478926,5191665.7435245886,1849.2525686250,1744.9725048895,False,
TOI_3505.01_50.000s_R-0100_aligned.fits,100,2459782.6729745255,1.7937531509,0.9986682581,0.9980167809,0.0022070418,444.1189525131,21.2387449168,1.0908232361,5126141.5684428578,1861.5402736254,1744.3166902044,False,
TOI_3505.01_50.000s_R-0101_aligned.fits,101,2459782.6737270430,1.8118135706,0.9972382295,0.9960022951,0.0022977502,456.8038982874,20.4139805166,1.0898202770,4944890.2642761879,1849.3532820625,1742.6019557064,False,
TOI_3505.01_50.000s_R-0102_aligned.fits,102,2459782.6744800471,1.8298856691,1.0007254641,0.9986488180,0.0022967905,455.5542545793,20.3873147248,1.0888376138,4944665.8031611759,1850.7431604076,1742.7493886393,False,
TOI_3505.01_50.000s_R-0103_aligned.fits,103,2459782.6752329213,1.8479546495,1.0009253460,0.9996587372,0.0023220427,457.4474437695,21.1123188301,1.0878759812,4893959.4065836817,1848.3029306187,1742.8470345985,False,
TOI_3505.01_50.000s_R-0104_aligned.fits,104,2459782.6759856115,1.8660192154,0.9958601841,0.9955930415,0.0022160675,442.8302059493,19.8668920546,1.0869353504,5091014.1406447440,1850.2012945020,1743.9643330034,False,
TOI_3505.01_50.000s_R-0105_aligned.fits,105,2459782.6767384834,1.8840881400,0.9977871191,0.9953125863,0.0021225490,430.1530080347,21.1228615788,1.0860151821,5290019.8918183530,1856.9729022309,1743.8545516640,False,
TOI_3505.01_50.000s_R-0106_aligned.fits,106,2459782.6774914246,1.9021587297,0.9991935100,0.9987574718,0.0020823648,423.8993522223,20.2241959501,1.0851155437,5387170.6051912066,1847.9834399335,1743.9926440521,False,
TOI_3505.01_50.000s_R-0107_aligned.fits,107,2459782.6782447444,1.9202384055,0.9981213596,0.9978386841,0.0022145799,443.0373700139,20.0833217183,1.0842360058,5099434.9461287484,1854.4035980617,1743.0792876431,False,
TOI_3505.01_50.000s_R-0108_aligned.fits,108,2459782.6789978519,1.9383129850,1.0009045033,1.0006789371,0.0024395377,471.2395135683,19.7763384857,1.0833771881,4679038.5533992415,1847.3847247001,1742.9470471367,False,
TOI_3505.01_50.000s_R-0109_aligned.fits,109,2459782.6797503065,1.9563718960,1.0038044207,1.0019765621,0.0025053938,478.5214397317,19.9285321587,1.0825394842,4568865.1755906465,1849.8896589967,1744.8194168043,False,
TOI_3505.01_50.000s_R-0110_aligned.fits,110,2459782.6805032138,1.9744416699,1.0051235901,1.0044086690,0.0023833602,462.6338362394,19.9596632393,1.0817215823,4775092.3328978382,1846.3698386012,1744.2248789406,False,
TOI_3505.01_50.000s_R-0111_aligned.fits,111,2459782.6812559585,1.9925075434,0.9984986177,0.9979872524,0.0023236763,454.9933887327,20.9883423820,1.0809240916,4875111.3546644850,1849.9519073213,1744.7951417666,False,
