sector,pipeline,cycle,predicted_bjd,measured_bjd,time_error_days,observed_minus_calculated_minutes,depth_ppt,depth_error_ppt,depth_snr,points,full_local_window,reduced_chi2,residual_scatter_ppt,used_in_ephemeris
41,QLP,-120,2459443.715713,2459443.713213,0.003250000000000003,-3.5999999195337296,2.7934230098648447,0.5980441751210738,4.670930887838374,57,True,0.96632083483672,1.6573198180972573,True
54,QLP,-8,2459770.2131402,2459770.2101402,0.0027500000000000024,-4.320000037550926,3.105668723908307,0.7645739890003143,4.061959690740972,45,True,0.519691193019049,1.5651471224439695,True
54,QLP,-7,2459773.1282957997,2459773.1437958,0.006000000000000005,22.320000305771828,3.405781593263748,0.8212361059703893,4.1471405951390885,48,True,1.2021030288299945,2.309284603117262,True
54,QLP,-6,2459776.0434514,2459776.1134514,0.0012500000000000011,100.79999975860119,-3.256177395837739,1.5368480535963196,-2.118737365231444,28,True,1.8311754292894222,2.328114983423662,False
54,QLP,-5,2459778.958607,2459778.9686069996,0.00775,14.399999678134918,1.9787678387790537,0.8132793215521098,2.433072852513522,44,True,0.943053909142647,2.7247443007108156,False
54,QLP,-4,2459781.8737625997,2459781.8667625994,0.0045000000000000005,-10.080000311136246,2.496211549399624,0.8524831908182048,2.9281651254657413,48,True,1.2153041098994999,2.3640930059524465,True
54,QLP,-3,2459784.7889182,2459784.7744182,0.005749999999999998,-20.880000069737434,2.1728923383397687,1.0834416728218303,2.0055462078364195,41,True,1.2710323438679023,1.7503084409662353,False
54,QLP,-2,2459787.7040738,2459787.7035737997,0.012249999999999997,-0.7200001180171967,2.9654402989765822,0.75043817444787,3.9516117382466396,50,True,0.7864024872086538,1.8533021376403445,True
54,QLP,-1,2459790.6192294,2459790.6252294,0.011499999999999996,8.640000075101852,3.620252015955534,0.8924873116758008,4.05636244750402,49,True,1.2037280342940786,1.76812289033509,True
54,QLP,0,2459793.534385,2459793.537885,0.004249999999999997,5.040000155568123,2.5099441481635227,0.828810008457518,3.028370944548233,44,True,1.120830584476319,2.1548895336500165,True
81,QLP,245,2460507.747507,2460507.744007,0.0017500000000000016,-5.040000155568123,3.1652313414072895,0.5919717140609786,5.34693004112227,173,True,0.7744577959565656,2.9274299557065366,True
81,QLP,246,2460510.6626625997,2460510.6691626,0.0017500000000000016,9.360000193119049,3.284532767722474,0.5914917081104,5.55296502501338,172,True,0.7788129722382032,2.9047591030574313,True
81,QLP,247,2460513.5778182,2460513.5768182,0.0007500000000000007,-1.4400002360343933,6.552027689044444,1.7264017725268077,3.7951928648999944,59,True,1.4709928703544166,2.865444411458934,True
81,QLP,250,2460522.323285,2460522.323285,0.003249999999999996,0.0,3.3960125992098256,0.5940712526181209,5.716507210613742,173,True,1.002001039221151,3.5779016363014287,True
81,QLP,251,2460525.2384405998,2460525.2284406,0.005000000000000001,-14.399999678134918,2.972648749250057,0.59407634309995,5.003816064680302,173,True,0.7525983139114211,2.6963956372440907,True
81,QLP,252,2460528.1535962,2460528.1465962,0.0015000000000000013,-10.080000311136246,2.4952868045894374,0.5913738533685878,4.219474348376695,173,True,0.7839664831642094,2.695889978390596,True
81,QLP,253,2460531.0687518,2460531.0607518,0.0012500000000000011,-11.519999876618385,3.7142591509547684,0.8540571845193735,4.34895838156902,130,True,1.6031996661416488,4.333630427793096,True
