frame,utc_midpoint,jd_utc,bjd_tdb,shift_x,shift_y,centroid_rms,background,target_x,target_y,header_shift_x,header_shift_y,registration_shift_x,registration_shift_y,flux_T1,flux_C2,flux_C3,flux_C4,flux_C5,flux_C6,flux_C7,flux_C8,flux_C9,flux_C10,flux_C11,flux_C12,flux_C13,flux_C14,flux_C15
TOI 3718.01-0180R_65.fit,2023-10-13T07:17:39.250,2460230.8039265047,2460230.8080900875,-165.89115168344392,-407.9961235939289,0.7442945292319741,458.60125732421875,1069.6268509104762,1488.257540621539,-530.5494253444342,65.17258552998034,-164.0,-408.0,460321.7838386398,435027.0293953686,556693.7498397697,472374.7160281915,366291.63349823136,857700.951419677,795630.0877471745,491584.8521397834,416003.71842476755,387677.65326446353,693119.8073590717,766958.5742246284,557390.6306017672,489401.76968871604,788289.9276309762
TOI 3718.01-0181R_65.fit,2023-10-13T07:18:56.880,2460230.804825,2460230.808988648,-167.03969644850713,-412.07896774005314,0.7926656785654206,455.9483184814453,1068.415257404109,1484.0759212109224,-530.5494253444342,65.17258552998034,-168.0,-412.0,464519.72937563754,436517.4425472453,558142.4223299392,473143.287211642,367991.3612902601,861374.7901415715,800639.209406852,493275.39482217934,413081.1417124647,390026.64865031175,696499.0723207188,768171.2716790173,557334.2060324532,490007.93802126707,794812.8677903805
TOI 3718.01-0182R_65.fit,2023-10-13T07:20:14.630,2460230.8057248844,2460230.809888598,-168.8003487459382,-412.38414587295347,0.8148883468099107,458.0609588623047,1066.663285295775,1483.82908293769,-530.5581190252021,62.41165733816313,-168.0,-412.0,458551.67277880147,430996.2590035973,553396.454068135,468541.65603577014,364633.14807272586,853664.3527411171,795645.4937677205,490023.51848679024,410873.26174151985,385249.3282980824,690559.856294409,763837.1798451713,553801.9255468487,489307.21477440203,784147.0127489422
TOI 3718.01-0183R_65.fit,2023-10-13T07:21:32.320,2460230.806624074,2460230.810787853,-171.50038238599154,-412.6835292062834,0.7686485627051525,463.03271484375,1063.9434442056954,1483.542177771913,-530.5581190252021,62.41165733816313,-172.0,-412.0,454042.951856552,429761.6629030469,548677.9326355702,466335.6055953831,359228.9769537729,842840.25834565,787889.6181527146,483285.0260595289,408363.35235260363,381611.59368663223,682561.8458665076,755948.1559684561,547972.4748060446,482679.8512825596,775727.7403652495
TOI 3718.01-0184R_65.fit,2023-10-13T07:22:50.060,2460230.8075238424,2460230.811687687,-174.48237253533148,-414.22326745751434,0.7763728653215318,463.7933044433594,1061.0159383337368,1481.9969567833532,-561.7873644707677,59.74903721225018,-172.0,-416.0,455371.27648269024,428651.21592526324,547887.018886467,463284.5043382341,359215.6107213899,841772.8682564758,788603.6240933333,485849.88239068823,410162.7828638383,381056.2339984448,681712.1751405941,755869.438840844,551479.9454650795,483173.77935034956,776561.8433823701
TOI 3718.01-0185R_65.fit,2023-10-13T07:24:07.800,2460230.8084236113,2460230.812587521,-175.45063750794725,-413.7676271509183,0.8279728399622676,468.5370178222656,1060.053646915729,1482.467893123,-561.7873644707677,59.74903721225018,-176.0,-412.0,457070.4576404453,428025.0231845201,551529.6649456157,464906.31591498,360362.79586246755,844289.1420240724,792198.8906245078,485746.87520284974,408900.42924509436,381135.25282982405,687100.1218541302,755741.183835237,549017.3209498858,484722.19771582045,775155.426297221
TOI 3718.01-0186R_65.fit,2023-10-13T07:25:25.490,2460230.809322801,2460230.813486776,-176.08670607912154,-416.6681286599736,0.8954728081426991,472.1566619873047,1059.4124418664385,1479.3085559119704,-561.7873644707677,59.74903721225018,-176.0,-416.0,456927.5834314429,426044.89870647114,547626.722981856,459755.3205908515,357970.67841014185,836731.5362526556,786163.0752406719,480631.2887261206,408387.2712913411,379551.99950156047,681472.1653236826,754426.9602847812,545526.5448384997,482740.5399111135,767751.7383544706
TOI 3718.01-0187R_65.fit,2023-10-13T07:26:43.250,2460230.810222801,2460230.8143868414,-175.09795636266904,-416.04279926717277,0.7963750331204305,470.31907653808594,1060.3711753696516,1480.2367040499073,-561.7960581515355,56.98810902050359,-176.0,-416.0,455351.33935573354,427786.79231067555,547518.2130296447,461800.009707792,357055.39427956514,839755.1005568755,787312.2416338618,482286.330948834,404599.50146220275,379315.7417752168,679335.2569625806,753877.5628496315,547980.3754635243,482859.76362642954,770133.7342440495
TOI 3718.01-0188R_65.fit,2023-10-13T07:28:01.040,2460230.811123148,2460230.815287254,-179.4573429872396,-417.3877505199705,0.8159252614209382,472.8606262207031,1055.964978271256,1478.889652460964,-561.7960581515355,56.98810902050359,-180.0,-416.0,456121.0042211562,427703.459439568,551008.6647512879,465955.7108025962,358974.88821573235,841266.7897959071,791355.3172340287,486128.36723858846,407308.0803636345,380214.5076274751,685955.1758737568,758099.8610218869,548015.1850006024,484115.50222660555,773451.7797340897
TOI 3718.01-0189R_65.fit,2023-10-13T07:29:18.800,2460230.8120231484,2460230.81618732,-181.39266755481322,-418.5275940019824,0.7936769561456686,469.75543212890625,1054.006271399976,1477.676498890561,-561.8047518323034,54.227180828686386,-180.0,-420.0,454673.79978279944,434607.11906259,549906.6469572696,463452.48787929537,358208.86900228297,841089.1235618703,791689.1215447267,484752.15892988665,406558.1551175555,381641.3239893711,683645.192103689,756672.1539921418,547366.2221421148,484442.6851487482,775379.0814537567
