relative_path,file_name,bytes,sha256,target,sector,pipeline,data_release,cadence_seconds,camera,ccd,time_start_btjd,time_stop_btjd,extensions
data_validation_multi_sector/tess2019199201929-s0014-s0086-0000000390988385-00971_dvm.pdf,tess2019199201929-s0014-s0086-0000000390988385-00971_dvm.pdf,6338754,3a8f433f92e3dd53f54d3859ec4267a14c41adadea4f4a32884d2418f10d6300,390988385,"54,81","SPOC Data Validation, combined sectors",,,,,,,pdf
data_validation_multi_sector/tess2019199201929-s0014-s0086-0000000390988385-00971_dvr.pdf,tess2019199201929-s0014-s0086-0000000390988385-00971_dvr.pdf,15336672,d802b90b6e5e89780f3eb8439cdc81e1ce0b9a6077f99ee4d1982640d69abe8f,390988385,"54,81","SPOC Data Validation, combined sectors",,,,,,,pdf
data_validation_multi_sector/tess2019199201929-s0014-s0086-0000000390988385-00971_dvr.xml,tess2019199201929-s0014-s0086-0000000390988385-00971_dvr.xml,191316,09082288e049ab6109678a56ce3acf849f73d0f86686651b5efe45763962f7df,390988385,"54,81","SPOC Data Validation, combined sectors",,,,,,,xml
data_validation_multi_sector/tess2019199201929-s0014-s0086-0000000390988385-00971_dvt.fits,tess2019199201929-s0014-s0086-0000000390988385-00971_dvt.fits,22014720,9405768984fa83f6e51747439b17f3715dbb795c80702310e275bde0b29dbacb,TIC 390988385,,NASA/Ames,122,599.9999999999961,,,2769.897362337979,3533.175783673415,"PRIMARY,TCE_1,Statistics"
data_validation_multi_sector/tess2019199201929-s0014-s0086-0000000390988385-01-00971_dvs.pdf,tess2019199201929-s0014-s0086-0000000390988385-01-00971_dvs.pdf,416046,1efb9751ed3abf092b42ee68c569c04e615102369b81bbe4635a83d9ee648f5b,390988385,"54,81","SPOC Data Validation, combined sectors",,,,,,,pdf
exomast/s0014-s0086_tce1_info.json,s0014-s0086_tce1_info.json,2609,d9490b4d7c26160484d396de1f7fe4a7e77b497819c1fa88445890f77b865775,390988385,"54,81",Exo.MAST,,,,,,,json
exomast/s0014-s0086_tce1_table.json,s0014-s0086_tce1_table.json,7276644,063adfaecc3162da090967c53ce5a65325dd0575d3468033e5a64b0c3920aeae,390988385,"54,81",Exo.MAST,,,,,,,json
exomast/s0014-s0086_vetting_products.json,s0014-s0086_vetting_products.json,3471,b7500503e59c11551da16dde9bf092ca9177c0b4dd50b470523b2fe62934d8a9,390988385,"54,81",Exo.MAST,,,,,,,json
exomast/tce_list.json,tce_list.json,69,5af0aaba3a299b8d38db2dd5a6956bf3bd92228bbaed055373f6ca4cbe0b9c58,390988385,,Exo.MAST,,,,,,,json
light_curves/mastDownload/HLSP/hlsp_qlp_tess_ffi_s0014-0000000390988385_tess_v01_llc/hlsp_qlp_tess_ffi_s0014-0000000390988385_tess_v01_llc.fits,hlsp_qlp_tess_ffi_s0014-0000000390988385_tess_v01_llc.fits,80640,72e83fd862037abacf38d0bf279dc67e0faef1473c7ceda02606aa005db1c078,TIC 390988385,14,MIT/QLP,,1799.9999999999995,1,3,1683.362787314022,1710.175978858687,"PRIMARY,LIGHTCURVE"
