image,slice,bjd_tdb,hours_since_first_image,astroimagej_35px_relative_brightness,photutils_20px_relative_brightness,photutils_25px_relative_brightness,photutils_30px_relative_brightness,photutils_35px_relative_brightness,photutils_40px_relative_brightness,photutils_45px_relative_brightness,photutils_50px_relative_brightness
TOI_3505.01_50.000s_R-0059_aligned.fits,59,2459782.6421075361,1.0529454052,0.9973742925,0.9996963645,0.9982793915,0.9975168665,0.9970546259,0.9973337387,0.9974877035,0.9986219041
TOI_3505.01_50.000s_R-0060_aligned.fits,60,2459782.6428602245,1.0710099265,1.0012781880,1.0008131109,1.0006030382,1.0000000000,1.0012012955,1.0015009582,1.0010619742,1.0009994606
TOI_3505.01_50.000s_R-0061_aligned.fits,61,2459782.6436133380,1.0890846513,0.9995681149,1.0000000000,1.0012342872,0.9999499621,0.9992153314,0.9990365327,1.0000108778,1.0000159008
TOI_3505.01_50.000s_R-0062_aligned.fits,62,2459782.6443660157,1.1071489155,0.9948049922,0.9961548823,0.9954638589,0.9950102625,0.9950294719,0.9974701544,0.9967380867,0.9970187982
TOI_3505.01_50.000s_R-0063_aligned.fits,63,2459782.6451192242,1.1252259202,0.9974929375,0.9994701482,0.9987972588,0.9984205472,0.9980972114,0.9979094958,0.9981270594,0.9993679854
TOI_3505.01_50.000s_R-0064_aligned.fits,64,2459782.6458724118,1.1433024220,1.0010785494,0.9988662317,0.9993764198,1.0009613688,1.0010147650,1.0016981435,1.0012277337,1.0009264457
TOI_3505.01_50.000s_R-0065_aligned.fits,65,2459782.6466247500,1.1613585390,1.0033752850,1.0013758866,1.0009316346,1.0021498277,1.0028074950,1.0030574317,1.0029247703,1.0047079817
TOI_3505.01_50.000s_R-0066_aligned.fits,66,2459782.6473772163,1.1794177294,0.9990442126,0.9975240643,0.9982247312,0.9987177527,0.9987723953,0.9996299603,0.9988443857,0.9985117365
TOI_3505.01_50.000s_R-0067_aligned.fits,67,2459782.6481302613,1.1974908113,0.9990630004,1.0009542175,1.0003803394,0.9990331501,0.9987039721,0.9980281697,0.9980037869,0.9972106269
TOI_3505.01_50.000s_R-0068_aligned.fits,68,2459782.6488823988,1.2155421115,1.0009755403,1.0012531454,1.0008643077,1.0015606549,1.0016478139,1.0008868216,0.9999047123,1.0012424378
TOI_3505.01_50.000s_R-0069_aligned.fits,69,2459782.6496356763,1.2336207703,1.0022968781,1.0034754241,1.0029520078,1.0026161712,1.0020328113,1.0009401059,1.0031221354,1.0033273640
TOI_3505.01_50.000s_R-0070_aligned.fits,70,2459782.6503884499,1.2516873367,1.0009933671,1.0006139555,1.0011525971,1.0017080647,1.0002656291,0.9996817438,0.9987537963,0.9991736802
TOI_3505.01_50.000s_R-0071_aligned.fits,71,2459782.6511416794,1.2697648443,1.0036828369,1.0026725761,1.0025275521,1.0033769559,1.0037881902,1.0050883454,1.0053111475,1.0043488248
TOI_3505.01_50.000s_R-0072_aligned.fits,72,2459782.6518941256,1.2878235541,1.0013396216,1.0004510274,1.0012179580,1.0016668266,1.0014254092,1.0007108458,1.0015801989,1.0028865265
TOI_3505.01_50.000s_R-0073_aligned.fits,73,2459782.6526460862,1.3058706075,0.9987105268,0.9980883017,0.9989892104,0.9984266428,0.9986951633,0.9976641712,0.9981702501,0.9969018913
TOI_3505.01_50.000s_R-0074_aligned.fits,74,2459782.6533985650,1.3239300996,1.0032461127,1.0021547735,1.0007431866,1.0011719744,1.0022108628,1.0020320196,1.0014717004,1.0005270999
TOI_3505.01_50.000s_R-0075_aligned.fits,75,2459782.6541513731,1.3419974931,1.0024307567,1.0008126154,1.0006771035,1.0019815296,1.0024343028,1.0009392224,1.0007935816,1.0023325673
TOI_3505.01_50.000s_R-0076_aligned.fits,76,2459782.6549045029,1.3600726090,0.9997214660,1.0001154401,1.0002391306,0.9999606665,1.0002172132,1.0009149054,1.0001839519,1.0010428540
TOI_3505.01_50.000s_R-0077_aligned.fits,77,2459782.6556575838,1.3781465515,0.9977678237,0.9979077810,0.9977761805,0.9982426294,0.9974679723,0.9967086123,0.9983948215,0.9972635187
TOI_3505.01_50.000s_R-0078_aligned.fits,78,2459782.6564107756,1.3962231539,1.0035055454,1.0025180940,1.0020166778,1.0022988053,1.0033930170,1.0030065904,1.0021104074,1.0004299252
TOI_3505.01_50.000s_R-0079_aligned.fits,79,2459782.6571634738,1.4142879099,1.0037340714,1.0012743850,1.0015368038,1.0035464938,1.0034736543,1.0026360620,1.0037472682,1.0056457516
TOI_3505.01_50.000s_R-0080_aligned.fits,80,2459782.6579167228,1.4323658869,1.0007029788,1.0002144349,1.0000494172,1.0005380116,1.0009681345,1.0001098440,1.0000854775,1.0006126842
TOI_3505.01_50.000s_R-0081_aligned.fits,81,2459782.6586697218,1.4504378624,1.0033953404,1.0027570911,1.0030143687,1.0032110520,1.0040873531,1.0045287895,1.0057445918,1.0049997443
TOI_3505.01_50.000s_R-0082_aligned.fits,82,2459782.6594229331,1.4685149342,1.0037569538,0.9995069368,1.0008918921,1.0024616379,1.0031135343,1.0025966011,1.0039953572,1.0044266938
TOI_3505.01_50.000s_R-0083_aligned.fits,83,2459782.6601752411,1.4865703247,0.9991714757,1.0000737984,0.9992489479,0.9997979260,0.9991735944,0.9973790338,0.9970094400,0.9976402452
