source,x_pixel,y_pixel,brightness_adu,width_pixels
90,1623.2499644895686,2903.595488172346,52371.25750732422,9.735546220621107
91,3405.1174070443167,1775.635172827123,51991.899169921875,9.518144984867238
92,2091.1733070791356,3781.2314826830666,51936.790130615234,9.58844667818812
93,2536.384101085425,1583.4628338559367,51110.89602661133,9.420443503282232
94,1777.1746207295748,1316.5364565037075,50635.782318115234,9.722688099572135
95,3622.9023775362084,1267.6742652710705,48355.93786621094,9.622285194441151
96,2605.781280125036,468.0469072528708,47844.28723144531,9.872630760133235
97,3059.940307119659,611.130802391935,47202.891845703125,9.37840946404581
98,448.097722421027,2570.603766821969,46760.133239746094,9.64879379052253
99,3860.858486413878,3837.5157259403973,46408.629150390625,9.79368260580766
100,1481.6013510902378,61.79337671346329,46170.25128173828,9.844884037142855
101,776.9708059211034,2084.75443543256,45700.75778198242,9.596502936792135
102,1325.7968677135373,1098.5359437626419,45517.321838378906,9.696787570343423
103,634.4223347133126,3835.604969332887,45305.912536621094,9.633640345152001
104,713.4889892483938,309.84240983717734,44920.059967041016,9.717552150965798
105,1569.280545886032,2348.668718113385,44776.48712158203,9.461926285428106
106,2138.1070580469927,3355.587636235849,43273.66619873047,9.647636203371027
107,212.34900341330814,3885.3687637255325,42973.26638793945,9.483187829399037
108,1561.7933331484137,992.5692213941854,40736.38165283203,9.073057134543593
109,1103.4846159251638,3323.0425814726536,40197.60140991211,9.245607388149747
110,362.54209734510295,3674.0353016950726,36441.072814941406,9.473473234415598
111,3173.530436359505,3014.89675259895,35383.22491455078,9.895614653374032
112,3185.075595947293,2992.744771562111,33570.54458618164,9.642214874819613
113,3561.2663899134195,3806.000005592195,31225.947326660156,9.657158153700061
114,3799.495704163829,3537.0062075868304,22206.732421875,9.698426431762655
