time_tbjd,pdcsap_flux,pdcsap_flux_err,normalized_flux,quality,used_in_clean_mask
1335.6666458288387,285668.96875,59.7067985534668,0.9965068218870509,0,True
1335.6680346992337,285885.6875,59.71927261352539,0.9972628077883227,0,True
1335.669423570094,285898.75,59.72068786621094,0.9973083740618239,0,True
1335.6708124404884,285795.46875,59.71601486206055,0.9969480952725372,0,True
1335.6722013108827,285851.0625,59.7209587097168,0.9971420244604771,0,True
1335.6735901817424,285979.21875,59.735477447509766,0.9975890753878188,0,True
1335.6749790521365,285786.90625,59.7200813293457,0.996918226471247,0,True
1335.6763679225307,286034.4375,59.73578643798828,0.9977816964530744,0,True
1335.6777567933907,285962.21875,59.73262405395508,0.997529773826133,0,True
1335.6791456637854,285774.96875,59.71319580078125,0.9968765845657984,0,True
1335.6805345341797,285945.375,59.72685241699219,0.9974710173155654,0,True
1335.6819234045731,285924.1875,59.72908020019531,0.9973971083839055,0,True
1335.6833122754338,285951.15625,59.729434967041016,0.9974911842069476,0,True
1335.684701145828,285998.90625,59.73805236816406,0.9976577518287418,0,True
1335.6860900162221,285862.5625,59.72482681274414,0.9971821402227941,0,True
1335.687478886617,286026.15625,59.740238189697266,0.9977528087437972,0,True
1335.6888677574768,285906.84375,59.72360610961914,0.997336607709759,0,True
1335.6902566278711,285883.84375,59.725135803222656,0.9972563761851251,0,True
1335.6916454982654,285912.15625,59.72987747192383,0.9973551394477859,0,True
1335.6930343686597,286031.65625,59.73676300048828,0.9977719945431662,0,True
1335.6944232395194,286051.4375,59.74168395996094,0.9978409980147603,0,True
1335.6958121099135,285873.09375,59.721004486083984,0.9972188766681767,0,True
1335.6972009803085,286016.125,59.74189758300781,0.9977178164619936,0,True
1335.6985898507035,285831.875,59.7169189453125,0.9970750921831331,0,True
1335.6999787215625,286044.25,59.736915588378906,0.9978159256633122,0,True
1335.7013675919568,286069.5,59.73955535888672,0.9979040059240516,0,True
1335.7027564623518,287990.1875,59.933719635009766,1.0046039922923231,0,True
1335.7041453327454,288255.0,59.96492385864258,1.0055277449278497,0,True
1335.705534203605,287544.9375,59.895118713378906,1.003050814625226,0,True
1335.706923074,287207.1875,59.856056213378906,1.001872632127613,0,True
1335.7083119443948,286836.1875,59.82416915893555,1.000578462751997,0,True
1335.7097008147891,286890.4375,59.82770919799805,1.000767704500318,0,True
1335.7110896851825,286803.3125,59.810943603515625,1.000463783996678,0,True
1335.7124785560432,286959.0625,59.83545684814453,1.0010070909515356,0,True
1335.7138674264372,286715.4375,59.80908966064453,1.000157247247669,0,True
1335.7152562968308,286534.3125,59.79154968261719,0.9995254239911772,0,True
1335.7166451672258,286413.4375,59.77989196777344,0.9991037724459545,0,True
1335.7180340376206,286151.28125,59.75534439086914,0.9981892856794414,0,True
1335.7194229084798,286202.21875,59.75471115112305,0.9983669723440517,0,True
1335.720811778874,286155.625,59.749671936035156,0.9982044381005339,0,True
1335.7222006492689,286210.125,59.75596237182617,0.9983945519306446,0,True
1335.7235895196632,286052.0,59.748104095458984,0.9978429601987867,0,True
1335.7249783900572,286224.9375,59.75714111328125,0.9984462227766725,0,True
1335.7263672604515,286172.3125,59.75653839111328,0.998262649559983,0,True
1335.727756131312,286046.75,59.741451263427734,0.9978246464812072,0,True
1335.7291450017062,286106.8125,59.74886703491211,0.9980341641311343,0,True
1335.7305338720998,286165.21875,59.74834060668945,0.9982379042392059,0,True
1335.7319227424948,286142.28125,59.75180435180664,0.9981578907350194,0,True
1335.7333116128889,285972.53125,59.734397888183594,0.9975657471999497,0,True
1335.734700483283,286073.78125,59.739532470703125,0.9979189403246967,0,True
1335.736089353678,286130.3125,59.74824523925781,0.9981161398193472,0,True
1335.7374782245379,285928.84375,59.726844787597656,0.9974133509072348,0,True
1335.738867094932,285993.46875,59.73715591430664,0.9976387840498203,0,True
