ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec
1845609480,297.069132607427,18.6952459907442,20.2682,0.6,1824562584789328256,20.6982,nan,nan,2.41011,1.41859,1.31616,nan,nan,nan,2664.21,,nan,,,88.48033240096758
390988319,297.018835832376,18.7066253746503,12.7074,0.0098,1824561412252469504,13.5567,14.3701,12.6655,1.62796,-6.19484,0.330619,4485.0,11.8963,nan,2781.74,,nan,,,88.48797047045552
1845609693,297.068677089194,18.7047863641582,17.6038,0.0069,1824562687868567296,18.2399,18.6712,17.4092,0.735078,-5.68639,0.245815,nan,nan,nan,3276.84,,nan,,,88.49587822360024
1845610242,297.032914890996,18.7213713753611,20.0999,0.0147,1824562928387760640,20.6641,20.9501,19.8496,-1.856,-4.93207,3.54564,nan,nan,nan,407.657,,nan,,,88.50390007856933
1845610114,297.060769416435,18.7172749199657,18.2286,0.0074,1824562889748274176,18.8054,19.0513,17.9231,-4.20422,-5.19094,0.378321,nan,nan,nan,2647.42,,nan,,,88.57891634764592
1845610249,297.029367380342,18.7196133598457,18.4421,0.0207,1824562928427915392,19.0317,19.3127,18.1561,-3.16577,-5.18778,0.565532,nan,nan,nan,2121.22,,nan,,,88.6971535962866
1845610232,297.043423888265,18.7235630902578,20.0232,0.0293,1824562928387731200,20.9238,21.0637,19.122,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.73690282866926
1845610135,297.059377265282,18.7184355870434,19.2403,0.009,1824562894027061760,19.8943,20.2144,18.911,-2.89644,-2.12996,1.05273,nan,nan,nan,1577.9,,nan,,,88.76231885064965
1845607073,297.024519232607,18.7158411776071,20.5794,0.6,1824561450919348224,21.0094,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.83475264928818
1845610183,297.039256359274,18.7232659146452,18.0659,0.0095,1824562924081027840,18.7631,19.138,17.732,-5.58812,-8.52851,1.02024,nan,nan,nan,1030.44,,nan,,,88.83971137276438
1845609615,297.069472842264,18.7008095641557,19.9185,0.6,1824562653508816512,20.3485,nan,nan,-2.59247,-7.51751,1.19483,nan,nan,nan,2448.73,,nan,,,88.91045145437596
1845606274,297.058142561081,18.6784809470778,19.1613,0.0523,1824561107321186944,20.0676,20.6004,18.6424,-12.3853,-30.6589,3.34064,nan,nan,nan,335.526,,nan,,,88.95219725970288
1845609613,297.069491483725,18.7011949999915,18.0488,0.009,1824562649230229248,18.7147,19.1561,17.8247,-2.6563,-4.38645,0.179931,nan,nan,nan,3502.77,,nan,,,89.09089519971826
1845610158,297.061789705923,18.7165714684651,20.6719,0.0194,1824562894027938432,20.8982,20.4783,20.0444,-5.13572,-4.25672,0.340682,nan,nan,nan,2903.65,,nan,,,89.10815618569919
1845609731,297.069338551549,18.7024723378109,17.2505,0.0502,1824562687909686528,17.9181,18.4201,17.1292,-1.18121,-2.2684,-0.000150167,5785.0,1.82833,1.04,5190.63,,nan,,,89.11533077248733
1845610322,297.047376564629,18.7233976500521,20.8018,0.6,1824562962748016000,21.2318,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,89.1389220265567
1845606974,297.018190315872,18.705212830865,18.6153,0.021,1824561416558458752,19.5711,20.1708,18.0655,3.25831,0.599575,1.82508,nan,nan,nan,599.282,,nan,,,89.15398160192554
1845609712,297.067154634051,18.7094211720643,20.2207,0.014,1824562687869490944,20.9051,21.0023,19.6269,-6.07634,-0.359761,1.11322,nan,nan,nan,2798.19,,nan,,,89.16234400693082
1845610144,297.057124683098,18.7200694933067,18.5667,0.0067,1824562894027076480,19.1691,19.1681,17.9828,-1.15252,-3.1295,0.250441,nan,nan,nan,3081.3,,nan,,,89.25341708913767
1845606199,297.050206232849,18.6749471511255,19.5757,0.0469,1824561072960862976,20.1092,19.8462,18.8123,-2.48517,-5.19528,-0.315813,nan,nan,nan,3514.14,,nan,,,89.28116497400502
1845609485,297.069667880312,18.6996498880752,19.3178,0.0489,1824562584789906688,20.1495,20.5533,18.8039,0.161058,-6.2371,2.12577,nan,nan,nan,563.343,,nan,,,89.35284566774077
1845610129,297.06076700905,18.7175770036906,20.3789,0.6,1824562894027054080,20.8089,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,89.38791331576569
1845610327,297.049472293792,18.7230874649755,17.9146,0.0458,1824562962787631616,18.5008,18.8862,17.7553,-3.37537,-6.49636,-0.211576,6235.0,1.21258,1.21,5394.67,,nan,,,89.3940085140201
390988576,297.03779301023,18.67463100856,17.0674,0.0498,1824561141679471104,17.6926,18.1812,16.9741,-1.14988,-3.52091,0.0771307,6089.0,1.73757,1.14,4916.15,,nan,,,89.54125223489372
1845609716,297.066265753492,18.7113004999233,19.8478,0.0499,1824562687869495552,20.3896,20.4987,19.4469,-4.96147,-5.15954,-0.025403,nan,nan,nan,3103.95,,nan,,,89.59461878625395
1845609498,297.069069594298,18.6932432442943,20.4373,0.1116,1824562584790260992,20.8173,20.3407,19.6202,-1.1982,-3.27408,3.05625,nan,nan,nan,2447.38,,nan,,,89.63090963418846
1845609727,297.069201915978,18.7040243442632,20.718,0.6,1824562687870046080,21.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,89.63186863318437
