source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star,separation_arcsec
1824561176040107136,297.0483561577001,18.684925674550577,19.472429275512695,20.09386444091797,18.44662094116211,1.6472434997558594,1.0144331455230713,0.4698462730025576,0.33019790053367615,-2.618395145957469,-6.4464622494497394,NOT_AVAILABLE,0,53.036580534473075
1824561176040106880,297.0475712873947,18.684673382597435,20.212251663208008,20.203224182128906,18.540895462036133,1.6623287200927734,1.0957317352294922,-0.8021985091696296,0.824607789516449,-2.5727027746543856,-3.2372898100735608,NOT_AVAILABLE,0,53.134347086315906
1824561450919336576,297.03495920455697,18.711281174413756,20.475454330444336,20.96867561340332,19.952476501464844,1.0161991119384766,1.0267661809921265,0.7791199756101216,0.815338134765625,-2.9758209950600807,-1.77852906709265,NOT_AVAILABLE,0,53.15613479977268
1824561176081208832,297.0479447811728,18.684751697735646,20.364259719848633,,,,,,,,,NOT_AVAILABLE,0,53.21303788123749
1824561176041019520,297.05663587761967,18.690854451815145,20.537622451782227,21.47893714904785,19.6153507232666,1.86358642578125,1.0710407495498657,0.6613751561430453,0.9949238300323486,-1.9561751793562228,-8.357709585849381,NOT_AVAILABLE,0,53.43862647566441
1824561347840360960,297.02837696070753,18.694799972051737,20.896072387695312,21.75942039489746,19.97119140625,1.788228988647461,,,,,,NOT_AVAILABLE,0,53.57581754101738
1824561450918994944,297.036160292061,18.712158419394534,20.468685150146484,20.69014549255371,19.763643264770508,0.9265022277832031,1.0813136100769043,-1.5984520952028034,1.0351166725158691,-2.36619013340307,-3.9918784683137676,NOT_AVAILABLE,0,53.81122976469365
1824561343559610752,297.0287537489227,18.693503786341186,19.154016494750977,19.82659149169922,18.434303283691406,1.3922882080078125,1.010710597038269,0.41127635094716597,0.25860801339149475,2.6396969596766557,-6.6675999766617275,NOT_AVAILABLE,0,53.849072667448006
1824561176040107008,297.0478663818072,18.684537219447584,19.964879989624023,20.106019973754883,18.183956146240234,1.9220638275146484,2.6143648624420166,-4.156554821520636,1.219096302986145,-5.054420775389552,0.15336096621147,NOT_AVAILABLE,0,53.87837336642503
1824561176040090752,297.05710779799944,18.69130564754546,19.319791793823242,19.78142738342285,18.351726531982422,1.4297008514404297,0.981465756893158,0.03255681281978565,0.3159865736961365,-2.5791351507268505,-9.202869822776574,NOT_AVAILABLE,0,53.95450438389421
1824561382199535616,297.0282651018272,18.70322173927981,20.19172477722168,20.23579978942871,19.190515518188477,1.0452842712402344,0.9844474196434021,0.12646067520933924,0.6221619248390198,-3.709647515589089,-6.5089079567969,NOT_AVAILABLE,0,54.13688217428764
1824562859667387392,297.04253926183895,18.71397242908829,19.855005264282227,,,,1.0481706857681274,0.18586687358812828,0.5075246691703796,-2.550987211145699,-5.768319815329697,NOT_AVAILABLE,0,54.304363052509224
1824562653549954176,297.058196645014,18.693032209808102,16.529829025268555,17.2459774017334,15.654069900512695,1.5919075012207031,0.989797055721283,0.0509762490482447,0.05369485169649124,-2.1031129057920293,-4.675757594084993,NOT_AVAILABLE,0,54.48111916221953
1824562653549955584,297.0593750055781,18.697412381509572,18.629758834838867,19.06591033935547,17.874181747436523,1.1917285919189453,1.0016419887542725,0.4233534941055312,0.18058598041534424,-2.8080536870095854,-4.223994763480361,NOT_AVAILABLE,0,54.484354421856686
1824562924113234048,297.03906476738837,18.71354850477021,19.3074893951416,20.162954330444336,18.594707489013672,1.568246841430664,1.0085558891296387,0.371308167844389,0.32161641120910645,-0.5032026115517034,-4.19413241057523,NOT_AVAILABLE,0,54.789371741373394
1824562859708402304,297.0524135439995,18.711589430925176,19.992746353149414,21.011878967285156,18.867197036743164,2.144681930541992,1.1078580617904663,0.07703874606593795,0.5533347725868225,-3.671431474394071,-6.483826371473956,NOT_AVAILABLE,0,54.872638542065104
1824561347879926784,297.0299245642691,18.690535641729934,20.455224990844727,20.856801986694336,19.828426361083984,1.0283756256103516,1.0337058305740356,0.7757171384725893,0.7252286076545715,-1.1029004771227329,-0.9929498490436711,NOT_AVAILABLE,0,55.18361674802108
1824562928387744896,297.03620849304525,18.712663103194195,20.894514083862305,,,,,,,,,NOT_AVAILABLE,0,55.35368335015627
1824561176040091008,297.0548237904875,18.68786275936213,19.48255729675293,20.339351654052734,18.477373123168945,1.861978530883789,1.45771062374115,3.3358328007808193,0.5435236692428589,-1.7727235339965945,-4.456955753333004,NOT_AVAILABLE,0,55.50009630756932
1824561446638869504,297.0320787843827,18.709953124203615,19.08844757080078,20.087242126464844,18.202590942382812,1.8846511840820312,0.967301070690155,0.6226485747032776,0.2517049014568329,1.3046408514574905,-7.4529084924838545,NOT_AVAILABLE,0,55.58477732920905
