measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C11,8.2669576555,1824561657076718720,296.9729510238,18.6750038302,20.6861629486,,,,,,,,,NOT_AVAILABLE,0
C11,9.2382800648,1824561657075688704,296.9704828689,18.6760595695,19.1947422028,19.7079277039,18.2034492493,1.5044784546,1.1006662846,0.4108671405,0.3492937982,-5.8848411263,-5.7406728358,NOT_AVAILABLE,0
C11,9.2476149600,1824561657075690496,296.9702728988,18.6780823042,18.7143096924,19.3501720428,17.6957168579,1.6544551849,0.9671757817,0.2386981081,0.1974972934,-4.1358583352,-4.8415782290,NOT_AVAILABLE,0
C11,9.2553291591,1824561657075690624,296.9708295096,18.6790093410,19.3973655701,20.0585174561,18.4446907043,1.6138267517,1.0551809072,0.4407803727,0.3428395391,-3.4279838280,-5.4110228796,NOT_AVAILABLE,0
C11,11.0085738589,1824561657075683584,296.9717417309,18.6744281485,20.0431632996,20.4853057861,18.9685821533,1.5167236328,1.2328902483,1.0877366714,0.9208518863,-3.6170049404,-4.0975601564,NOT_AVAILABLE,0
C11,11.5111230611,1824560901161434368,296.9747903409,18.6746786305,16.9401130676,16.9348449707,16.0103321075,0.9245128632,0.9813855886,0.2924654409,0.0752711147,-2.4004876545,-6.2957454315,NOT_AVAILABLE,0
C11,11.8200079839,1824560901203069312,296.9744420612,18.6743794707,16.8474998474,17.2237396240,15.9234161377,1.3003234863,1.0875103474,0.4532119489,0.0666131899,-0.2271528422,-2.6473380986,NOT_AVAILABLE,0
C2,0.5586839008,1824533791366835328,296.9495892327,18.5566723010,11.3406934738,12.4768199921,10.2676639557,2.2091560364,0.9911423326,0.4058764233,0.0195997655,0.7566775302,-3.9705386210,NOT_AVAILABLE,0
C2,1.8316668429,1824533787048117120,296.9492516610,18.5564490465,14.7593774796,,,,1.8757820129,0.7287722582,0.0782703534,-5.0963462594,-5.8504005853,NOT_AVAILABLE,0
C2,4.6942606932,1824533791318179584,296.9485794088,18.5573254807,20.5024909973,19.7236404419,17.4667530060,2.2568874359,,,,,,NOT_AVAILABLE,0
C2,5.3670176338,1824533791320488064,296.9510452508,18.5557951905,20.7020397186,20.8163757324,18.7005138397,2.1158618927,1.0950630903,0.1048707094,1.4039293528,-2.8954753272,-0.1040993667,NOT_AVAILABLE,0
C2,6.0778715207,1824533791366838528,296.9479794578,18.5564517013,20.2571029663,20.4240837097,18.2214660645,2.2026176453,1.1169699430,1.1420321143,0.6512118578,-2.4305865367,-3.3126610373,NOT_AVAILABLE,0
C2,6.4236679539,1824533791320669312,296.9499521439,18.5584136201,20.7376384735,20.2902622223,19.2885837555,1.0016784668,0.9743846655,-0.3359041040,1.3589822054,-2.8234926274,-2.1846760367,NOT_AVAILABLE,0
C2,7.2384774022,1824533791320488192,296.9500422960,18.5546482565,20.6046600342,20.7684307098,18.7884426117,1.9799880981,1.0045937300,-1.3911922757,1.0951737165,-1.6217752519,-6.5632824907,NOT_AVAILABLE,0
C2,8.6141155007,1824533413409715328,296.9476432550,18.5553208003,18.7623691559,19.2735347748,17.7213344574,1.5522003174,1.0593621731,0.5599479199,0.2062762678,-5.4133986187,-6.1316879780,NOT_AVAILABLE,0
C2,9.0617745058,1824533791318198144,296.9484184072,18.5588178029,20.5879764557,20.5633678436,18.9502506256,1.6131172180,0.9157838225,-0.8667423555,1.0626918077,-2.5197031104,-3.8681723211,NOT_AVAILABLE,0
C2,9.2457203379,1824533722600573056,296.9511420705,18.5544368247,20.5208950043,21.2084197998,19.8035068512,1.4049129486,0.9821797609,1.4686127878,0.9122189879,-3.9298315993,-3.7231096592,NOT_AVAILABLE,0
